Sn,hhid,Cleared_land
445,ANT062,no
446,ANT063,no
447,ANT064,no
448,SAH001,no
449,SAH006,no
450,SAH007,no
451,SAH008,no
452,SAH012,no
453,SAH013,no
454,SAH014,no
455,SAH015,no
456,SAH016,no
457,SAH018,no
458,SAH019,no
459,SAH020,no
460,SAH021,no
461,SAH022,no
462,SAH023,no
463,SAH024,no
464,SAH026,no
465,SAH027,no
466,SAH028,no
467,SAH029,no
468,SAH030,no
469,SAH031,no
470,SAH032,no
471,SAH033,no
472,SAH034,no
473,SAH035,no
474,SAH036,no
475,SAH037,no
476,SAH038,no
477,SAH039,no
478,SAH042,no
479,SAH044,no
480,SAH045,no
481,SAH046,no
482,SAH051,no
483,SAH054,no
484,SAH056,no
485,SAH057,no
486,SAH058,no
487,SAH059,no
488,SAH060,no
489,SAH061,no
490,SAH062,no
491,SAH064,no
492,SAH065,no
493,SAH066,no
494,SAH067,no
495,SAH070,no
496,SAH073,no
497,SAH074,no
498,SAH075,no
499,SAH076,no
500,SAH077,no
501,SAH078,no
502,SAH079,no
503,SAH080,no
504,SAH082,no
505,SAH083,no
506,SAH084,no
507,SAH085,no
508,SAH087,no
509,SAH088,no
510,SAH089,no
511,SAH090,no
512,SAH091,no
513,SAH092,no
514,SAH093,no
515,SAH094,no
516,SAH095,no
517,VBA001,no
518,VBA002,no
519,VBA003,no
520,VBA004,no
521,VBA005,no
522,VBA006,no
523,VBA008,no
524,VBA009,no
525,VBA012,no
526,VBA013,no
527,VBA014,no
528,VBA015,no
529,VBA016,no
530,VBA018,no
531,VBA019,no
532,VBA021,no
533,VBA023,no
534,VBA024,no
535,VBA025,no
536,VBA027,no
537,VBA028,no
538,VBA029,no
539,VBA030,no
540,VBA031,no
541,VBA032,no
542,VBA033,no
543,VBA034,no
544,VBA035,no
545,VBA036,no
546,VBA037,no
547,VBA038,no
548,VBA039,no
549,VBA040,no
550,VBA041,no
551,VBA042,no
552,VBA044,no
553,VBA045,no
554,VBA046,no
555,VBA047,no
556,VBA048,no
557,VBA049,no
558,VBA050,no
559,VBA051,no
560,VBA052,no
561,VBA054,no
562,VBA055,no
563,VBA056,no
564,VBA057,no
565,VVE001,no
566,VVE002,no
567,VVE003,no
568,VVE004,no
569,VVE005,no
570,VVE006,no
571,VVE007,no
572,VVE008,no
573,VVE009,no
574,VVE010,no
575,VVE012,no
576,VVE013,no
577,VVE014,no
578,VVE015,no
579,VVE018,no
580,VVE019,no
581,VVE020,no
582,VVE021,no
583,VVE022,no
584,VVE023,no
585,VVE024,no
586,VVE025,no
587,VVE026,no
588,VVE027,no
589,VVE028,no
590,VVE029,no
591,VVE030,no
592,VVE031,no
593,VVE032,no
594,VVE033,no
595,VVE034,no
596,VVE035,no
597,VVE036,no
598,VVE037,no
599,VVE041,no
600,VVE044,no
601,VVE045,no
602,VVE047,no 
