sn,resp_id,site,fokontany,main_house_rm,house_qlty,tlu,food_sec,type_light,light_sufficiency,mplayer_num,irrigated_rice,education
57,AMP057,Ampahitra,Ampahitra,1,1,0.81,3,1,0,0,0,0
58,AMP058,Ampahitra,Ampahitra,1,1,0.15,7,1,1,1,0,0
60,AMP060,Ampahitra,Ampahitra,1,1,0.08,3,1,0,0,0,0
61,AMP061,Ampahitra,Ampahitra,1,1,0.08,10,2,0,0,0,0
62,AMP062,Ampahitra,Ampahitra,1,1,0.03,3,1,0,0,0,0
63,AMP063,Ampahitra,Ampahitra,1,1,0.06,3,1,2,0,0,0
65,AMP065,Ampahitra,Ampahitra,1,1,0.07,9,1,2,1,1,0
66,AMP066,Ampahitra,Ampahitra,1,1,0.13,10,1,0,0,1,0
67,AMP067,Ampahitra,Ampahitra,1,1,0,3,1,0,0,0,0
68,AMP068,Ampahitra,Ampahitra,1,1,0.2,8,1,0,0,0,0
69,AMP069,Ampahitra,Ampahitra,1,1,4.3,11.5,2,2,1,1,0
70,AMP070,Ampahitra,Ampahitra,1,1,0.09,12,1,2,1,0,0
71,AMP071,Ampahitra,Ampahitra,1,1,0.13,5,0,0,0,0,0
72,AMP072,Ampahitra,Ampahitra,1,1,0,1,0,0,0,1,0
74,AMP074,Ampahitra,Ampahitra,1,1,0.15,5,1,1,1,0,0
75,AMP075,Ampahitra,Ampahitra,1,1,0.03,2,1,2,1,0,0
76,AMP076,Ampahitra,Ampahitra,1,1,0.08,10,1,1,1,1,0
77,AMP077,Ampahitra,Ampahitra,1,1,0.28,11,1,2,1,1,0
78,AMP078,Ampahitra,Ampahitra,1,1,0.03,8,1,2,1,0,0
80,AMP080,Ampahitra,Ampahitra,1,1,0.2,9,1,1,0,0,0
81,AMP081,Ampahitra,Ampahitra,1,1,0.22,1,1,0,0,1,0
82,AMP082,Ampahitra,Ampahitra,1,1,0.12,6,1,1,0,1,0
83,AMP083,Ampahitra,Ampahitra,1,1,0.01,5,1,2,1,1,0
85,AMP085,Ampahitra,Ampahitra,1,1,0.06,6,1,0,0,1,0
87,AMP087,Ampahitra,Ampahitra,1,1,0.1,7,1,0,0,0,0
89,AMP089,Ampahitra,Ampahitra,1,1,0.2,3,0,2,0,1,0
91,AMP091,Ampahitra,Ampahitra,1,1,0.06,7,1,2,0,1,0
93,AMP093,Ampahitra,Ampahitra,1,1,0,4,0,2,1,1,0
94,AMP094,Ampahitra,Ampahitra,1,1,0.02,4,1,2,0,1,0
97,AMP097,Ampahitra,Ampahitra,1,1,0.12,12,1,1,0,0,0
98,AMP098,Ampahitra,Ampahitra,1,1,0,3,1,0,1,0,0
